mel_spectro_start,mel_spectro_end,mel_spectro_length,sentence,speaker
33218,33441,223,SI1042,MJDG0
33441,33646,205,SX159,FTAJ0
33646,33974,328,SI636,MDAS0
33974,34192,218,SX156,MAEO0
34192,34533,341,SI482,FEXM0
34533,34742,209,SX211,FCKE0
34742,34988,246,SX64,MLJH0
34988,35193,205,SI1769,MJJB0
35193,35452,259,SA2,MDCM0
35452,35742,290,SX435,MFRM0
35742,36085,343,SX331,MPMB0
36085,36303,218,SX234,MTLB0
36303,36487,184,SI1876,MLEL0
36487,36633,146,SX196,FNKL0
36633,36831,198,SX270,MSEM1
36831,37038,207,SA1,FDFB0
37038,37246,208,SA2,MJRH0
37246,37645,399,SI604,MDLM0
37645,37930,285,SI536,MZMB0
37930,38199,269,SA1,FSPM0
38199,38441,242,SX218,MRAB1
38441,38726,285,SX63,FSAG0
38726,38886,160,SX21,MJPG0
38886,39138,252,SI1505,FEME0
39138,39392,254,SA1,MGRP0
39392,39672,280,SX444,MJAE0
39672,39915,243,SX56,FDAW0
39915,40218,303,SI744,MEDR0
40218,40473,255,SA1,MCLM0
40473,40715,242,SA2,MMAA0
40715,41101,386,SI1428,MRCG0
41101,41440,339,SI945,MHBS0
41440,41798,358,SI682,MJAI0
41798,42156,358,SI2052,MRAI0
42156,42479,323,SX176,FPAD0
42479,42757,278,SI851,MGES0
42757,42981,224,SX300,FHLM0
42981,43252,271,SX222,MGAR0
43252,43457,205,SA2,MRWA0
43457,43733,276,SA1,FTBR0
43733,43973,240,SA2,MJEB1
43973,44231,258,SI806,MWDK0
44231,44432,201,SX111,FTBR0
44432,44593,161,SX42,MRPC1
44593,44852,259,SI1211,FJXM0
44852,45201,349,SI1342,MFXV0
45201,45482,281,SA2,FBAS0
45482,45782,300,SI1801,FSJS0
45782,45987,205,SI1955,FALR0
45987,46516,529,SI1432,FJRP1
46516,46699,183,SX300,MTAT0
46699,47017,318,SX58,FKLC1
47017,47212,195,SX340,MRLJ0
47212,47479,267,SX342,MRAI0
47479,47688,209,SI1862,MJBG0
47688,47920,232,SX24,FLAG0
47920,48085,165,SI2264,FMBG0
48085,48380,295,SX219,MHMR0
48380,48760,380,SI2021,MRJB1
48760,49078,318,SX181,MDAC0
49078,49277,199,SX238,MCAL0
49277,49536,259,SI699,FTAJ0
49536,49764,228,SA1,MEJL0
49764,49995,231,SX135,MHBS0
49995,50332,337,SA1,MEGJ0
50332,50509,177,SX31,MJKR0
50509,50729,220,SX443,MSMS0
50729,50949,220,SX376,MDWM0
50949,51222,273,SA1,MCRE0
51222,51360,138,SI2319,MKLR0
51360,51730,370,SX321,FDTD0
51730,52103,373,SA2,MPMB0
52103,52312,209,SI1575,MHBS0
52312,52634,322,SX431,MWAC0
52634,52853,219,SA1,MJPG0
52853,53080,227,SX45,MJRH0
53080,53199,119,SI557,MDWD0
53199,53386,187,SX31,MJWT0
53386,53668,282,SX256,MMAR0
53668,53908,240,SX260,MSDH0
53908,54121,213,SX85,MJWG0
54121,54270,149,SX27,FPAZ0
54270,54525,255,SI1320,MWEM0
54525,54859,334,SI2020,MTJU0
54859,55210,351,SX170,MTJG0
55210,55488,278,SA1,MGAW0
55488,55772,284,SX433,MRWA0
55772,56059,287,SA2,MDWH0
56059,56323,264,SX77,MEGJ0
56323,56442,119,SX231,MSRG0
56442,56588,146,SI1636,MDBB1
56588,56834,246,SX397,MKDD0
56834,57019,185,SX391,MJWT0
57019,57189,170,SX204,MBOM0
57189,57441,252,SX75,MTML0
57441,57807,366,SX349,FHLM0
57807,58107,300,SI1802,MGAW0
58107,58311,204,SA2,FLET0
58311,58601,290,SX424,MLJH0
58601,58840,239,SA1,FSDJ0
58840,59155,315,SI753,MTPG0
59155,59365,210,SX74,FRLL0
59365,59539,174,SX75,FJWB1
59539,59738,199,SX322,FSDC0
59738,60092,354,SI1756,MMAG0
60092,60338,246,SX340,MTXS0
60338,60478,140,SX187,FMJB0
60478,60728,250,SI2195,FDJH0
60728,61006,278,SX41,MKLW0
61006,61370,364,SI1692,MHMR0
61370,61591,221,SX35,MDWH0
61591,61854,263,SX17,MPRK0
61854,62117,263,SI990,MAEB0
62117,62332,215,SI1682,FJSK0
62332,62582,250,SX271,MTQC0
62582,62794,212,SI1774,MJRH1
62794,63105,311,SI609,MLBC0
63105,63315,210,SX296,MAKB0
63315,63431,116,SI2234,FSDC0
63431,63694,263,SI1442,MCEW0
63694,63955,261,SI1600,MTPR0
63955,64043,88,SX231,MKRG0
64043,64330,287,SA1,MBMA0
64330,64592,262,SA2,FDKN0
64592,64791,199,SA2,MCPM0
64791,64982,191,SA2,MDSS0
64982,65150,168,SX217,FCYL0
65150,65361,211,SX434,MTMN0
65361,65576,215,SI1893,FAJW0
65576,65816,240,SA1,MTMT0
65816,66124,308,SX430,MJRK0
66124,66364,240,SI1762,MFMC0
66364,66572,208,SI1874,FSAH0
66572,66918,346,SA1,FBMJ0
66918,67133,215,SX158,MDEM0
67133,67320,187,SA2,MDLM0
67320,67534,214,SA2,MDAC0
67534,67771,237,SA2,MJRH1
67771,68032,261,SX242,MJBG0
68032,68365,333,SI1326,MAEO0
68365,68560,195,SX204,MCPM0
68560,68790,230,SX418,FDFB0
68790,68953,163,SI1511,FDXW0
68953,69422,469,SI895,MJWG0
69422,69589,167,SI463,MJDE0
69589,69822,233,SX147,MTRT0
69822,70023,201,SA2,FPLS0
70023,70477,454,SI2131,MPMB0
70477,70871,394,SI1966,MMAR0
70871,71029,158,SI713,MMDS0
71029,71252,223,SX183,MILB0
71252,71627,375,SI1458,MRTC0
71627,71857,230,SA2,MRTC0
71857,72201,344,SI1433,MSMS0
72201,72392,191,SX182,MJXL0
72392,72579,187,SX344,MJAI0
72579,72825,246,SI1456,MCLM0
72825,73185,360,SX362,FSSB0
73185,73426,241,SI1974,FLHD0
73426,73635,209,SA2,MJJJ0
73635,73839,204,SI2321,MMPM0
73839,74120,281,SX212,FJKL0
74120,74352,232,SA2,MJDM0
74352,74547,195,SX33,MAPV0
74547,74858,311,SX437,MEGJ0
74858,75122,264,SX448,FGDP0
75122,75461,339,SX398,MSVS0
75461,75833,372,SI1455,MDJM0
75833,76015,182,SX296,FVMH0
76015,76244,229,SA1,MJDC0
76244,76440,196,SX390,MDTB0
76440,76547,107,SI2130,MREW1
76547,76831,284,SX451,FLAC0
76831,77053,222,SI750,MCSS0
77053,77296,243,SX376,MJLS0
77296,77463,167,SX33,MRLK0
77463,77573,110,SI1973,MMDS0
77573,77965,392,SX352,FEAR0
77965,78144,179,SI1171,FSJS0
78144,78270,126,SI1506,FJLG0
78270,78494,224,SA2,FKLH0
78494,78757,263,SI759,FMJU0
78757,78981,224,SX51,MMDM0
78981,79161,180,SX325,MWAR0
79161,79386,225,SX89,FJLG0
79386,79736,350,SA1,FSJS0
79736,80025,289,SA1,MDHL0
80025,80228,203,SX33,FTLG0
80228,80429,201,SA2,MJMD0
80429,80716,287,SI2037,MLNS0
80716,80871,155,SX177,MCHL0
80871,81214,343,SI861,MKRG0
81214,81452,238,SX262,MRGM0
81452,81828,376,SI661,FPAC0
81828,82092,264,SI687,MGRP0
82092,82235,143,SX257,FCJS0
82235,82493,258,SX179,FSKL0
82493,82684,191,SX303,MAPV0
82684,82931,247,SI751,MJWT0
82931,83257,326,SX333,MMDM1
83257,83525,268,SA1,MWDK0
83525,83877,352,SX432,MRAI0
83877,83994,117,SI1576,MPAR0
83994,84194,200,SX71,MMPM0
84194,84507,313,SX450,MSEM1
84507,84768,261,SX268,MPFU0
84768,85091,323,SI2187,FSGF0
85091,85348,257,SA1,FRJB0
85348,85517,169,SI914,MRJH0
85517,85778,261,SA2,MWAC0
85778,85974,196,SA2,MKRG0
85974,86249,275,SX414,FSMM0
86249,86504,255,SA2,FSJW0
86504,86727,223,SX222,MRPC1
86727,86948,221,SI1242,FCMG0
86948,87221,273,SI1873,FLMA0
87221,87522,301,SX439,MRSP0
87522,87890,368,SX362,MCEW0
87890,88140,250,SA2,FMJU0
88140,88389,249,SX265,MJWG0
88389,88900,511,SX438,FKFB0
88900,89123,223,SX79,FVKB0
89123,89310,187,SI2322,MWAD0
89310,89480,170,SA2,MMEA0
89480,89783,303,SA2,FLAG0
89783,90031,248,SI1027,FCJF0
90031,90242,211,SX337,MJXA0
90242,90512,270,SA1,FCJS0
90512,90706,194,SX252,FCMG0
90706,90930,224,SA1,FTAJ0
90930,91182,252,SA2,MTPP0
91182,91419,237,SX211,FDTD0
91419,91615,196,SX157,MJEE0
91615,91877,262,SA1,FLJD0
91877,92134,257,SA1,MJJJ0
92134,92306,172,SX266,MRFK0
92306,92593,287,SX301,MJWT0
92593,92946,353,SI1250,MKAM0
92946,93313,367,SI960,FPLS0
93313,93564,251,SI1740,MTAT0
93564,93767,203,SX187,MRKM0
93767,94162,395,SI575,MPRB0
94162,94403,241,SX84,MDLC2
94403,94641,238,SX417,MGRL0
94641,94837,196,SI1393,MWEM0
94837,95079,242,SX180,MDED0
95079,95363,284,SI1385,MTAS0
95363,95596,233,SX69,FMAH1
95596,95863,267,SX169,MRSP0
95863,96093,230,SX331,FLEH0
96093,96228,135,SX237,MBCG0
96228,96475,247,SX213,MAPV0
96475,96751,276,SX321,MRMB0
96751,97130,379,SX136,MGAK0
97130,97362,232,SI1509,FMAH1
97362,97588,226,SX112,MDSJ0
97588,97854,266,SX418,MRJT0
97854,98039,185,SI1277,MJJB0
98039,98240,201,SA2,FDXW0
98240,98440,200,SI2032,MRTJ0
98440,98646,206,SX198,FDNC0
98646,98851,205,SA1,MGRL0
98851,99028,177,SX277,FLET0
99028,99373,345,SI1854,MRAB0
99373,99602,229,SI1438,FCLT0
99602,99909,307,SI758,MMEA0
99909,100219,310,SI1485,MVRW0
100219,100592,373,SA1,MPRK0
100592,101007,415,SI2198,MSVS0
101007,101292,285,SA2,FKDE0
101292,101518,226,SA1,MRPC1
101518,101802,284,SI2007,FMEM0
101802,102040,238,SI599,MRBC0
102040,102209,169,SA2,MRPC1
102209,102441,232,SX392,FJHK0
102441,102623,182,SI1345,FTBW0
102623,102832,209,SX262,FBCG1
102832,103000,168,SI2094,FLAG0
103000,103198,198,SI597,MTRT0
103198,103393,195,SA2,MRMS0
103393,103633,240,SI2252,MWCH0
103633,103816,183,SX24,MEDR0
103816,104005,189,SX77,MKJO0
104005,104238,233,SX204,MMVP0
104238,104508,270,SX266,FSCN0
104508,104855,347,SI1951,MRAM0
104855,105055,200,SA2,MGAK0
105055,105299,244,SI626,FSCN0
105299,105523,224,SI1351,MCXM0
105523,105828,305,SX171,FLOD0
105828,106096,268,SI1605,MJFR0
106096,106327,231,SX421,MREM0
106327,106581,254,SA1,MHBS0
106581,106814,233,SX337,MLSH0
106814,107076,262,SI1797,MRDS0
107076,107267,191,SX248,FBLV0
107267,107495,228,SX315,FLMK0
107495,107826,331,SX178,MKAH0
107826,108131,305,SX310,MJDE0
108131,108307,176,SX157,MDSS1
108307,108497,190,SI1793,MJJJ0
108497,108758,261,SI1439,MDHL0
108758,109007,249,SX271,FDKN0
109007,109224,217,SA2,FTMG0
109224,109529,305,SX418,MCAL0
109529,109689,160,SX177,MRDS0
109689,109895,206,SX248,MTPP0
109895,110049,154,SI2227,MMAM0
110049,110539,490,SI871,MPMB0
110539,110820,281,SA2,MBAR0
110820,111053,233,SA1,FJWB1
111053,111212,159,SX177,FKLH0
111212,111421,209,SI1486,FGCS0
111421,111654,233,SI2289,MRSO0
111654,111890,236,SA1,MARC0
111890,112099,209,SX148,MCAL0
112099,112289,190,SX331,MGAG0
112289,112572,283,SX73,FAPB0
112572,112770,198,SA2,FSKP0
112770,113002,232,SI977,FCJS0
113002,113210,208,SA2,MSMC0
113210,113434,224,SX148,FKLC1
113434,113603,169,SI1987,MMEB0
113603,113959,356,SX327,MMEB0
113959,114246,287,SX449,MDHL0
114246,114406,160,SX241,MABC0
114406,114585,179,SI2331,MMWS1
114585,114891,306,SX174,FJSP0
114891,115165,274,SA1,MSMC0
115165,115352,187,SI1151,MMBS0
115352,115662,310,SX178,FGDP0
115662,115892,230,SI1684,FPAF0
115892,116153,261,SX60,MPEB0
116153,116338,185,SI588,MKDB0
116338,116692,354,SI1957,FCMM0
116692,116965,273,SA1,MJWT0
116965,117136,171,SI876,MMXS0
117136,117294,158,SX93,MILB0
117294,117502,208,SI1252,FEAR0
117502,117668,166,SX355,MGAW0
117668,117942,274,SX321,MTDB0
117942,118178,236,SA2,MJSR0
118178,118373,195,SI1565,FDJH0
118373,118558,185,SI2154,MJAE0
118558,118943,385,SI737,MADC0
118943,119165,222,SA2,MJRK0
119165,119340,175,SX255,FJWB1
119340,119456,116,SX17,MSDB0
119456,119706,250,SA2,FALK0
119706,119934,228,SI1671,MRLJ1
119934,120141,207,SX285,MHMG0
120141,120412,271,SX321,MRLJ1
120412,120612,200,SI717,MMRP0
120612,120900,288,SA1,MJRH1
120900,121144,244,SI1755,MJRH0
121144,121377,233,SA2,MGXP0
121377,121578,201,SA2,FSAK0
121578,121831,253,SA2,MPRD0
121831,122026,195,SX26,MRLR0
122026,122342,316,SI1507,MJXA0
122342,122744,402,SI864,MMAB1
122744,122932,188,SA1,MBSB0
122932,123240,308,SA1,FTMG0
123240,123567,327,SX120,MRJB1
123567,123755,188,SX86,FPAD0
123755,123996,241,SI1332,MESG0
123996,124217,221,SI762,FAEM0
124217,124396,179,SX86,MJLB0
124396,124573,177,SX405,MVRW0
124573,124823,250,SA1,MMLM0
124823,125066,243,SX163,FPMY0
125066,125321,255,SX41,MGES0
125321,125586,265,SI1246,MLEL0
125586,125803,217,SI1292,MCDC0
125803,126035,232,SA2,MDLB0
126035,126281,246,SA1,MBOM0
126281,126467,186,SI1074,MAJP0
126467,126875,408,SI1920,FKKH0
126875,127112,237,SX243,FPAZ0
127112,127320,208,SI1107,MJFH0
127320,127485,165,SX344,FSAH0
127485,127738,253,SA1,MRAB1
127738,128011,273,SX135,MJRP0
128011,128241,230,SX85,FHXS0
128241,128491,250,SX54,MRAB0
128491,128723,232,SI502,MFMC0
128723,128998,275,SA1,MJXL0
128998,129299,301,SX422,MKDB0
129299,129702,403,SI1339,FLAC0
129702,130073,371,SX449,MMWB0
130073,130349,276,SX277,MCAE0
130349,130521,172,SX157,MJXA0
130521,130821,300,SX167,FCJS0
130821,131076,255,SX331,FJLR0
131076,131242,166,SI1709,MMGG0
131242,131592,350,SX136,MDLB0
131592,131791,199,SI2182,FBJL0
131791,131921,130,SX207,MHJB0
131921,132137,216,SI2108,MRAB1
132137,132523,386,SX311,MJPM1
132523,132793,270,SI1471,FPAB1
132793,132999,206,SI1382,MDRD0
132999,133237,238,SX159,MDDC0
133237,133553,316,SI1050,MRDD0
133553,133890,337,SX324,MFXS0
133890,134017,127,SI1531,MBWP0
134017,134408,391,SI1328,MJHI0
134408,134715,307,SX288,FDNC0
134715,135009,294,SX76,MWSH0
135009,135325,316,SA1,FAJW0
135325,135579,254,SX272,MCEW0
135579,135889,310,SA1,MPRB0
135889,136045,156,SI1654,MEJL0
136045,136332,287,SX260,MDMA0
136332,136469,137,SI1861,FJLR0
136469,136683,214,SI899,FSKL0
136683,137170,487,SI523,FPMY0
137170,137458,288,SA1,FDNC0
137458,137732,274,SA1,FVMH0
137732,138264,532,SI1422,MLJH0
138264,138434,170,SI2092,MDSJ0
138434,138687,253,SA1,MMDM0
138687,138940,253,SA1,MBCG0
138940,139077,137,SX21,MRCW0
139077,139375,298,SI1998,MJPM0
139375,139515,140,SX31,MKRG0
139515,139775,260,SA2,MDLC0
139775,140016,241,SA2,MTKD0
140016,140219,203,SX116,FLKM0
140219,140481,262,SI1536,FMKF0
140481,140723,242,SX173,MMDS0
140723,141000,277,SX288,MRTC0
141000,141472,472,SI1163,MJJJ0
141472,141833,361,SX171,MPRD0
141833,142062,229,SX197,MSMC0
142062,142267,205,SA2,MDLR0
142267,142533,266,SI2046,FSKC0
142533,142681,148,SX197,MEAL0
142681,142957,276,SX107,MSMC0
142957,143260,303,SI1343,MMDS0
143260,143481,221,SX277,MGXP0
143481,143784,303,SX440,FMBG0
143784,143953,169,SX427,MDSS1
143953,144297,344,SI1051,FLEH0
144297,144538,241,SA1,MTPP0
144538,144749,211,SA1,MSAT0
144749,145047,298,SA1,MMWS0
145047,145323,276,SI605,MTPF0
145323,145477,154,SI1977,MCHL0
145477,145671,194,SX18,MJPM0
145671,145991,320,SI591,MSRG0
145991,146210,219,SI1122,FJXP0
146210,146454,244,SX56,FBCH0
146454,146701,247,SX114,FLAG0
146701,146967,266,SX426,MJRA0
146967,147184,217,SA1,MBEF0
147184,147493,309,SI1155,MFRM0
147493,147699,206,SX81,MPRD0
147699,147838,139,SX3,FAJW0
147838,148067,229,SX441,MPRD0
148067,148338,271,SX7,MRKM0
148338,148544,206,SX285,MDJM0
148544,148733,189,SA2,MKAG0
148733,148971,238,SX169,MKAG0
148971,149227,256,SX309,FCAJ0
149227,149407,180,SX86,MZMB0
149407,149580,173,SA2,FCJF0
149580,149782,202,SA2,MVRW0
149782,150073,291,SX350,FMBG0
150073,150271,198,SX386,MAKB0
150271,150466,195,SX148,MRJT0
150466,150672,206,SX91,MCXM0
150672,150875,203,SX308,MJMD0
150875,151044,169,SX445,MJMM0
151044,151373,329,SI589,MTRC0
151373,151604,231,SA2,FSJK1
151604,151937,333,SI1508,MTPP0
151937,152145,208,SX391,FDTD0
152145,152394,249,SX155,MBBR0
152394,152563,169,SX152,MMGK0
152563,152821,258,SA1,MTAT0
152821,153114,293,SI791,MRML0
153114,153370,256,SX222,MTAB0
153370,153706,336,SA1,FLKM0
153706,153919,213,SA2,MKES0
153919,154148,229,SI816,MNET0
154148,154375,227,SA2,FAEM0
154375,154606,231,SX129,FCAJ0
154606,154785,179,SI1837,MDAC0
154785,154957,172,SX64,MRLD0
154957,155323,366,SI1110,MTAT0
155323,155677,354,SI1134,MTLB0
155677,156008,331,SI790,MRLJ0
156008,156233,225,SX172,MTCS0
156233,156612,379,SI983,MHIT0
156612,156888,276,SA1,MMXS0
156888,157267,379,SI1519,MRJH0
157267,157481,214,SI1187,MTKD0
157481,157651,170,SX64,MDLM0
157651,157810,159,SX195,MDJM0
157810,158044,234,SA2,MRFL0
158044,158295,251,SX348,FCEG0
158295,158476,181,SA2,MWCH0
158476,158743,267,SX154,MLJH0
158743,159129,386,SI1816,FCDR1
159129,159287,158,SI1414,MKAJ0
159287,159573,286,SA1,FJSK0
159573,159779,206,SX69,FDML0
159779,159900,121,SI2244,MDLC2
159900,160128,228,SX302,MDMT0
160128,160336,208,SI2236,MWGR0
160336,160551,215,SX71,MJAC0
160551,160970,419,SI1152,FGRW0
160970,161189,219,SI1261,MDAC0
161189,161412,223,SX265,MGAW0
161412,161645,233,SX316,MSTF0
161645,161845,200,SX147,MLNS0
161845,162068,223,SX159,MLBC0
162068,162344,276,SX54,MFXS0
162344,162512,168,SX269,MDPS0
162512,162639,127,SX3,FPLS0
162639,162970,331,SI1419,MDDC0
162970,163216,246,SA1,MDLC2
163216,163383,167,SX287,MSDB0
163383,163666,283,SI1798,MADD0
163666,163939,273,SX292,FLMC0
163939,164098,159,SX157,MMAM0
164098,164318,220,SI512,MHXL0
164318,164523,205,SX270,MAEB0
164523,164796,273,SX241,MPMB0
164796,164993,197,SI1905,MRAM0
164993,165249,256,SX239,MJJB0
165249,165453,204,SA2,MSDH0
165453,165679,226,SI2071,MTQC0
165679,165922,243,SX67,MDSS1
165922,166134,212,SA2,MDPS0
166134,166295,161,SX116,FVMH0
166295,166506,211,SA2,FSMM0
166506,166717,211,SX444,MDLC2
166717,166871,154,SI2280,MJPM1
166871,167123,252,SX341,MJAC0
167123,167268,145,SI2306,FJLG0
167268,167472,204,SX213,FNTB0
167472,167729,257,SA1,MJRH0
167729,168044,315,SA1,MJAI0
168044,168545,501,SI1120,MJDE0
168545,168753,208,SX416,MTJM0
168753,169024,271,SX152,MHXL0
169024,169251,227,SI1676,FPJF0
169251,169452,201,SX147,MGRL0
169452,169735,283,SA1,MRJM0
169735,169997,262,SX337,MWRE0
169997,170236,239,SX402,FJXP0
170236,170464,228,SX416,MRGM0
170464,170654,190,SX63,MDPK0
170654,170891,237,SA2,MWRP0
170891,171062,171,SI815,FBMJ0
171062,171182,120,SI1641,FCAG0
171182,171376,194,SI480,MTQC0
171376,171643,267,SI1788,MDBP0
171643,171852,209,SX387,MJFH0
171852,172191,339,SI1313,MTLC0
172191,172422,231,SX211,FPAC0
172422,172730,308,SX422,MHXL0
172730,173058,328,SI1411,MAEB0
173058,173259,201,SX271,MCXM0
173259,173426,167,SI555,MJHI0
173426,173635,209,SA2,FLHD0
173635,173898,263,SA2,FCAJ0
173898,174113,215,SA1,MPSW0
174113,174306,193,SX399,MCTH0
174306,174493,187,SI1205,MPRB0
174493,174710,217,SX64,FSMS1
174710,175047,337,SI600,MPEB0
175047,175297,250,SA1,MESG0
175297,175500,203,SX222,FVFB0
175500,175762,262,SA1,MKAJ0
175762,176001,239,SA1,MJFH0
176001,176290,289,SX173,MHIT0
176290,176542,252,SX338,MJHI0
176542,176827,285,SX176,MJLB0
176827,177026,199,SI1871,FSPM0
177026,177254,228,SX7,FMMH0
177254,177535,281,SX438,FCEG0
177535,177798,263,SA1,MTJM0
177798,178172,374,SI959,FBCH0
178172,178414,242,SI2281,MRMH0
178414,178679,265,SX151,FJLR0
178679,178915,236,SX123,MTKP0
178915,179102,187,SI1790,FMBG0
179102,179303,201,SX26,MAKB0
179303,179585,282,SA1,MMDM1
179585,179810,225,SA2,MJFR0
179810,180039,229,SX382,FLMC0
180039,180248,209,SA2,FPJF0
180248,180488,240,SA2,FPAD0
180488,180789,301,SX286,MDBB1
180789,180956,167,SX415,FREH0
180956,181103,147,SX196,MJLS0
181103,181248,145,SI1794,FRJB0
181248,181416,168,SI2035,MMDG0
181416,181716,300,SX38,FKAA0
181716,181976,260,SX362,FTMG0
181976,182283,307,SI1226,MTJM0
182283,182579,296,SX327,MLNS0
182579,182744,165,SX59,MRBC0
182744,182970,226,SI1032,FVFB0
182970,183247,277,SX420,MPEB0
183247,183545,298,SA1,MDLB0
183545,183738,193,SA2,MGAW0
183738,183889,151,SI2314,FPAF0
183889,184031,142,SX207,MJFH0
184031,184247,216,SA2,MBMA0
184247,184446,199,SX402,MRPC1
184446,184842,396,SA1,MRML0
184842,185105,263,SI1366,MJRG0
185105,185326,221,SX201,MRCW0
185326,185704,378,SI834,FLAG0
185704,185928,224,SI2129,MPGR1
185928,186175,247,SI1297,FCYL0
186175,186552,377,SI1588,MMAA0
186552,186693,141,SX59,MSES0
186693,186906,213,SX147,FLET0
186906,187119,213,SI1737,MJFH0
187119,187368,249,SX450,MAEB0
187368,187598,230,SX356,MRFK0
187598,187982,384,SX335,FEME0
187982,188197,215,SX381,FEXM0
