raw_start,raw_end,raw_length,Speaker
4145800,4180104,34304,SI1238
4180104,4215535,35431,SI1668
4215535,4267247,51712,SI907
4267247,4318755,51508,SX395
4318755,4357667,38912,SX419
4357667,4396170,38503,SX186
4396170,4442046,45876,SA2
4442046,4477374,35328,SX248
4477374,4548645,71271,SX435
4548645,4581004,32359,SX307
4581004,4635174,54170,SX329
4635174,4694054,58880,SX178
4694054,4742182,48128,SA2
4742182,4794714,52532,SX178
4794714,4835265,40551,SX302
4835265,4878581,43316,SA2
4878581,4918722,40141,SI1728
4918722,4991017,72295,SX335
4991017,5030953,39936,SI681
5030953,5104579,73626,SX153
5104579,5179946,75367,SX175
5179946,5218449,38503,SX22
5218449,5291461,73012,SX220
5291461,5336108,44647,SA2
5336108,5411987,75879,SI796
5411987,5452026,40039,SX261
5452026,5488788,36762,SX114
5488788,5523195,34407,SX303
5523195,5591087,67892,SI1255
5591087,5628156,37069,SI2156
5628156,5677923,49767,SX255
5677923,5724003,46080,SA2
5724003,5756976,32973,SX127
5756976,5813399,56423,SI1778
5813399,5870948,57549,SX442
5870948,5925220,54272,SX342
5925220,6007038,81818,SA1
6007038,6044210,37172,SX78
6044210,6103910,59700,SA1
6103910,6142310,38400,SX399
6142310,6190541,48231,SX60
6190541,6238055,47514,SI515
6238055,6271745,33690,SI652
6271745,6318747,47002,SX362
6318747,6370152,51405,SX18
6370152,6414696,44544,SX448
6414696,6456988,42292,SI1944
6456988,6507267,50279,SX431
6507267,6543722,36455,SX322
6543722,6589700,45978,SA2
6589700,6628920,39220,SX397
6628920,6673464,44544,SI1042
6673464,6714322,40858,SX159
6714322,6779756,65434,SI636
6779756,6823276,43520,SX156
6823276,6891372,68096,SI482
6891372,6933152,41780,SX211
6933152,6982304,49152,SX64
6982304,7023162,40858,SI1769
7023162,7074772,51610,SA2
7074772,7132731,57959,SX435
7132731,7201237,68506,SX331
7201237,7244757,43520,SX234
7244757,7281519,36762,SI1876
7281519,7310601,29082,SX196
7310601,7350025,39424,SX270
7350025,7391395,41370,SA1
7391395,7432867,41472,SA2
7432867,7512637,79770,SI604
7512637,7569572,56935,SI536
7569572,7623332,53760,SA1
7623332,7671665,48333,SX218
7671665,7728600,56935,SX63
7728600,7760447,31847,SX21
7760447,7810828,50381,SI1505
7810828,7861516,50688,SA1
7861516,7917427,55911,SX444
7917427,7965863,48436,SX56
7965863,8026279,60416,SI744
8026279,8077172,50893,SA1
8077172,8125505,48333,SA2
8125505,8202613,77108,SI1428
8202613,8270402,67789,SI945
8270402,8341980,71578,SI682
8341980,8413558,71578,SI2052
8413558,8478070,64512,SX176
8478070,8533571,55501,SI851
8533571,8578218,44647,SX300
8578218,8632286,54068,SX222
8632286,8673246,40960,SA2
8673246,8728338,55092,SA1
8728338,8776159,47821,SA2
8776159,8827667,51508,SI806
8827667,8867706,40039,SX111
8867706,8899860,32154,SX42
8899860,8951572,51712,SI1211
8951572,9021204,69632,SI1342
9021204,9077217,56013,SA2
9077217,9137121,59904,SI1801
9137121,9178081,40960,SI1955
9178081,9283758,105677,SI1432
9283758,9320213,36455,SX300
9320213,9383804,63591,SX58
9383804,9422614,38810,SX340
9422614,9475965,53351,SX342
9475965,9517745,41780,SI1862
9517745,9564030,46285,SX24
9564030,9597003,32973,SI2264
9597003,9655986,58983,SX219
9655986,9731865,75879,SI2021
9731865,9795456,63591,SX181
9795456,9835085,39629,SX238
9835085,9886797,51712,SI699
9886797,9932365,45568,SA1
9932365,9978445,46080,SX135
9978445,10045722,67277,SA1
10045722,10080948,35226,SX31
10080948,10124878,43930,SX443
10124878,10168808,43930,SX376
10168808,10223388,54580,SA1
10223388,10250934,27546,SI2319
10250934,10324867,73933,SX321
10324867,10399312,74445,SA2
10399312,10441092,41780,SI1575
10441092,10505400,64308,SX431
10505400,10549125,43725,SA1
10549125,10594386,45261,SX45
10594386,10618041,23655,SI557
10618041,10655417,37376,SX31
10655417,10711737,56320,SX256
10711737,10759558,47821,SX260
10759558,10802157,42599,SX85
10802157,10831956,29799,SX27
10831956,10882952,50996,SI1320
10882952,10949615,66663,SI2020
10949615,11019657,70042,SX170
11019657,11075158,55501,SA1
11075158,11131786,56628,SX433
11131786,11189130,57344,SA2
11189130,11241764,52634,SX77
11241764,11265521,23757,SX231
11265521,11294705,29184,SI1636
11294705,11343755,49050,SX397
11343755,11380722,36967,SX391
11380722,11414719,33997,SX204
11414719,11464998,50279,SX75
11464998,11538010,73012,SX349
11538010,11597914,59904,SI1802
11597914,11638670,40756,SA2
11638670,11696526,57856,SX424
11696526,11744245,47719,SA1
11744245,11807119,62874,SI753
11807119,11849103,41984,SX74
11849103,11883817,34714,SX75
11883817,11923549,39732,SX322
11923549,11994308,70759,SI1756
11994308,12043460,49152,SX340
12043460,12071416,27956,SX187
12071416,12121388,49972,SI2195
12121388,12176889,55501,SX41
12176889,12249593,72704,SI1692
12249593,12293728,44135,SX35
12293728,12346157,52429,SX17
12346157,12398689,52532,SI990
12398689,12441595,42906,SI1682
12441595,12491567,49972,SX271
12491567,12533961,42394,SI1774
12533961,12596016,62055,SI609
12596016,12638000,41984,SX296
12638000,12661143,23143,SI2234
12661143,12713572,52429,SI1442
12713572,12765694,52122,SI1600
12765694,12783102,17408,SX231
12783102,12840446,57344,SA1
12840446,12892670,52224,SA2
12892670,12932402,39732,SA2
12932402,12970598,38196,SA2
12970598,13004083,33485,SX217
13004083,13046272,42189,SX434
13046272,13089076,42804,SI1893
13089076,13137000,47924,SA1
13137000,13198543,61543,SX430
13198543,13246364,47821,SI1762
13246364,13287836,41472,SI1874
13287836,13356854,69018,SA1
13356854,13399658,42804,SX158
13399658,13437034,37376,SA2
13437034,13479735,42701,SA2
13479735,13526942,47207,SA2
13526942,13578962,52020,SX242
13578962,13645522,66560,SI1326
13645522,13684332,38810,SX204
13684332,13730310,45978,SX418
13730310,13762874,32564,SI1511
13762874,13856673,93799,SI895
13856673,13890056,33383,SI463
13890056,13936648,46592,SX147
13936648,13976789,40141,SA2
13976789,14067516,90727,SI2131
14067516,14146160,78644,SI1966
14146160,14177700,31540,SI713
14177700,14222244,44544,SX183
14222244,14297201,74957,SI1458
14297201,14343077,45876,SA2
14343077,14411685,68608,SI1433
14411685,14449778,38093,SX182
14449778,14487052,37274,SX344
14487052,14536102,49050,SI1456
14536102,14607987,71885,SX362
14607987,14656115,48128,SI1974
14656115,14697792,41677,SA2
14697792,14738445,40653,SI2321
14738445,14794561,56116,SX212
14794561,14840949,46388,SA2
14840949,14879861,38912,SX33
14879861,14941916,62055,SX437
14941916,14994550,52634,SX448
14994550,15062237,67687,SX398
15062237,15136477,74240,SI1455
15136477,15172727,36250,SX296
15172727,15218500,45773,SA1
15218500,15257515,39015,SX390
15257515,15278815,21300,SI2130
15278815,15335545,56730,SX451
15335545,15379782,44237,SI750
15379782,15428218,48436,SX376
15428218,15461601,33383,SX33
15461601,15483515,21914,SI1973
15483515,15561851,78336,SX352
15561851,15597487,35636,SI1171
15597487,15622678,25191,SI1506
15622678,15667427,44749,SA2
15667427,15719856,52429,SI759
15719856,15764605,44749,SX51
15764605,15800548,35943,SX325
15800548,15845502,44954,SX89
15845502,15915339,69837,SA1
15915339,15973093,57754,SA1
15973093,16013644,40551,SX33
16013644,16053683,40039,SA2
16053683,16111027,57344,SI2037
16111027,16141952,30925,SX177
16141952,16210356,68404,SI861
16210356,16257870,47514,SX262
16257870,16333032,75162,SI661
16333032,16385768,52736,SI687
16385768,16414236,28468,SX257
16414236,16465641,51405,SX179
16465641,16503837,38196,SX303
16503837,16553092,49255,SI751
16553092,16618219,65127,SX333
16618219,16671775,53556,SA1
16671775,16742022,70247,SX432
16742022,16765267,23245,SI1576
16765267,16805101,39834,SX71
16805101,16867668,62567,SX450
16867668,16919790,52122,SX268
16919790,16984200,64410,SI2187
16984200,17035400,51200,SA1
17035400,17069192,33792,SI914
17069192,17121212,52020,SA2
17121212,17160329,39117,SA2
17160329,17215216,54887,SX414
17215216,17266212,50996,SA2
17266212,17310756,44544,SX222
17310756,17354788,44032,SI1242
17354788,17409265,54477,SI1873
17409265,17469374,60109,SX439
17469374,17542898,73524,SX362
17542898,17592767,49869,SA2
17592767,17642534,49767,SX265
17642534,17744627,102093,SX438
17744627,17789171,44544,SX79
17789171,17826445,37274,SI2322
17826445,17860442,33997,SA2
17860442,17920858,60416,SA2
17920858,17970318,49460,SI1027
17970318,18012405,42087,SX337
18012405,18066268,53863,SA1
18066268,18104976,38708,SX252
18104976,18149623,44647,SA1
18149623,18200004,50381,SA2
18200004,18247211,47207,SX211
18247211,18286226,39015,SX157
18286226,18338553,52327,SA1
18338553,18389753,51200,SA1
18389753,18424057,34304,SX266
18424057,18481401,57344,SX301
18481401,18551955,70554,SI1250
18551955,18625274,73319,SI960
18625274,18675450,50176,SI1740
18675450,18715898,40448,SX187
18715898,18794746,78848,SI575
18794746,18842772,48026,SX84
18842772,18890184,47412,SX417
18890184,18929199,39015,SI1393
18929199,18977430,48231,SX180
18977430,19034160,56730,SI1385
19034160,19080650,46490,SX69
19080650,19134001,53351,SX169
19134001,19179877,45876,SX331
19179877,19206706,26829,SX237
19206706,19256063,49357,SX213
19256063,19311257,55194,SX321
19311257,19386931,75674,SX136
19386931,19433216,46285,SI1509
19433216,19478272,45056,SX112
19478272,19531418,53146,SX418
19531418,19568282,36864,SI1277
19568282,19608423,40141,SA2
19608423,19648257,39834,SI2032
19648257,19689320,41063,SX198
19689320,19730280,40960,SA1
19730280,19765506,35226,SX277
19765506,19834319,68813,SI1854
19834319,19879990,45671,SI1438
19879990,19941226,61236,SI758
19941226,20003076,61850,SI1485
20003076,20077521,74445,SA1
20077521,20160363,82842,SI2198
20160363,20217195,56832,SA2
20217195,20262354,45159,SA1
20262354,20319084,56730,SI2007
20319084,20366598,47514,SI599
20366598,20400390,33792,SA2
20400390,20446675,46285,SX392
20446675,20482925,36250,SI1345
20482925,20524602,41677,SX262
20524602,20558190,33588,SI2094
20558190,20597717,39527,SI597
20597717,20636527,38810,SA2
20636527,20684451,47924,SI2252
20684451,20721008,36557,SX24
20721008,20758794,37786,SX77
20758794,20805284,46490,SX204
20805284,20859249,53965,SX266
20859249,20928472,69223,SI1951
20928472,20968306,39834,SA2
20968306,21017049,48743,SI626
21017049,21061696,44647,SI1351
21061696,21122624,60928,SX171
21122624,21176180,53556,SI1605
21176180,21222260,46080,SX421
21222260,21273051,50791,SA1
21273051,21319643,46592,SX337
21319643,21371970,52327,SI1797
21371970,21410063,38093,SX248
21410063,21455631,45568,SX315
21455631,21521782,66151,SX178
21521782,21582710,60928,SX310
21582710,21617834,35124,SX157
21617834,21655722,37888,SI1793
21655722,21707742,52020,SI1439
21707742,21757509,49767,SX271
21757509,21800722,43213,SA2
21800722,21861548,60826,SX418
21861548,21893497,31949,SX177
21893497,21934560,41063,SX248
21934560,21965280,30720,SI2227
21965280,22063175,97895,SI871
22063175,22119188,56013,SA2
22119188,22165678,46490,SA1
22165678,22197320,31642,SX177
22197320,22238997,41677,SI1486
22238997,22285487,46490,SI2289
22285487,22332591,47104,SA1
22332591,22374268,41677,SX148
22374268,22412156,37888,SX331
22412156,22468579,56423,SX73
22468579,22508003,39424,SA2
22508003,22554288,46285,SI977
22554288,22595863,41575,SA2
22595863,22640510,44647,SX148
22640510,22674302,33792,SI1987
22674302,22745368,71066,SX327
22745368,22802610,57242,SX449
22802610,22834559,31949,SX241
22834559,22870195,35636,SI2331
22870195,22931328,61133,SX174
22931328,22986010,54682,SA1
22986010,23023284,37274,SI1151
23023284,23085134,61850,SX178
23085134,23131010,45876,SI1684
23131010,23183030,52020,SX60
23183030,23219894,36864,SI588
23219894,23290550,70656,SI1957
23290550,23345130,54580,SA1
23345130,23379230,34100,SI876
23379230,23410667,31437,SX93
23410667,23452242,41575,SI1252
23452242,23485420,33178,SX355
23485420,23540204,54784,SX321
23540204,23587308,47104,SA2
23587308,23626220,38912,SI1565
23626220,23663187,36967,SI2154
23663187,23739987,76800,SI737
23739987,23784327,44340,SA2
23784327,23819246,34919,SX255
23819246,23842286,23040,SX17
23842286,23892155,49869,SA2
23892155,23937723,45568,SI1671
23937723,23979093,41370,SX285
23979093,24033161,54068,SX321
24033161,24072995,39834,SI717
24072995,24130544,57549,SA1
24130544,24179287,48743,SI1755
24179287,24225879,46592,SA2
24225879,24265918,40039,SA2
24265918,24316402,50484,SA2
24316402,24355212,38810,SX26
24355212,24418393,63181,SI1507
24418393,24498777,80384,SI864
24498777,24536358,37581,SA1
24536358,24597901,61543,SA1
24597901,24663130,65229,SX120
24663130,24700711,37581,SX86
24700711,24748737,48026,SI1332
24748737,24792872,44135,SI762
24792872,24828610,35738,SX86
24828610,24863938,35328,SX405
24863938,24913910,49972,SA1
24913910,24962448,48538,SX163
24962448,25013341,50893,SX41
25013341,25066282,52941,SI1246
25066282,25109495,43213,SI1292
25109495,25155780,46285,SA2
25155780,25204932,49152,SA1
25204932,25242001,37069,SI1074
25242001,25323409,81408,SI1920
25323409,25370718,47309,SX243
25370718,25412190,41472,SI1107
25412190,25445061,32871,SX344
25445061,25495647,50586,SA1
25495647,25550124,54477,SX135
25550124,25596000,45876,SX85
25596000,25645972,49972,SX54
25645972,25692360,46388,SI502
25692360,25747349,54989,SA1
25747349,25807356,60007,SX422
25807356,25887843,80487,SI1339
25887843,25961981,74138,SX449
25961981,26017073,55092,SX277
26017073,26051377,34304,SX157
26051377,26111179,59802,SX167
26111179,26162175,50996,SX331
26162175,26195353,33178,SI1709
26195353,26265293,69940,SX136
26265293,26304922,39629,SI2182
26304922,26330727,25805,SX207
26330727,26373838,43111,SI2108
26373838,26450843,77005,SX311
26450843,26504808,53965,SI1471
26504808,26545973,41165,SI1382
26545973,26593385,47412,SX159
26593385,26656566,63181,SI1050
26656566,26723946,67380,SX324
26723946,26749239,25293,SI1531
26749239,26827268,78029,SI1328
26827268,26888504,61236,SX288
26888504,26947180,58676,SX76
26947180,27010361,63181,SA1
27010361,27061152,50791,SX272
27061152,27123104,61952,SA1
27123104,27154132,31028,SI1654
27154132,27211476,57344,SX260
27211476,27238817,27341,SI1861
27238817,27281518,42701,SI899
27281518,27378901,97383,SI523
27378901,27436348,57447,SA1
27436348,27491030,54682,SA1
27491030,27597424,106394,SI1422
27597424,27631319,33895,SI2092
27631319,27681905,50586,SA1
27681905,27732491,50586,SA1
27732491,27759832,27341,SX21
27759832,27819429,59597,SI1998
27819429,27847282,27853,SX31
27847282,27899097,51815,SA2
27899097,27947225,48128,SA2
27947225,27987776,40551,SX116
27987776,28040103,52327,SI1536
28040103,28088334,48231,SX173
28088334,28143733,55399,SX288
28143733,28237941,94208,SI1163
28237941,28310031,72090,SX171
28310031,28355804,45773,SX197
28355804,28396662,40858,SA2
28396662,28449808,53146,SI2046
28449808,28479402,29594,SX197
28479402,28534596,55194,SX107
28534596,28595115,60519,SI1343
28595115,28639250,44135,SX277
28639250,28699666,60416,SX440
28699666,28733458,33792,SX427
28733458,28802169,68711,SI1051
28802169,28850297,48128,SA1
28850297,28892384,42087,SA1
28892384,28951879,59495,SA1
28951879,29007073,55194,SI605
29007073,29037691,30618,SI1977
29037691,29076399,38708,SX18
29076399,29140297,63898,SI591
29140297,29183920,43623,SI1122
29183920,29232560,48640,SX56
29232560,29281815,49255,SX114
29281815,29334859,53044,SX426
29334859,29378072,43213,SA1
29378072,29439820,61748,SI1155
29439820,29480883,41063,SX81
29480883,29508634,27751,SX3
29508634,29554407,45773,SX441
29554407,29608475,54068,SX7
29608475,29649640,41165,SX285
29649640,29687324,37684,SA2
29687324,29734736,47412,SX169
29734736,29785834,51098,SX309
29785834,29821674,35840,SX86
29821674,29856183,34509,SA2
29856183,29896427,40244,SA2
29896427,29954591,58164,SX350
29954591,29994118,39527,SX386
29994118,30033030,38912,SX148
30033030,30074195,41165,SX91
30074195,30114643,40448,SX308
30114643,30148333,33690,SX445
30148333,30213972,65639,SI589
30213972,30260155,46183,SA2
30260155,30326715,66560,SI1508
30326715,30368187,41472,SX391
30368187,30417954,49767,SX155
30417954,30451644,33690,SX152
30451644,30503049,51405,SA1
30503049,30561520,58471,SI791
30561520,30612618,51098,SX222
30612618,30679690,67072,SA1
30679690,30722186,42496,SA2
30722186,30767959,45773,SI816
30767959,30813220,45261,SA2
30813220,30859403,46183,SX129
30859403,30895039,35636,SI1837
30895039,30929343,34304,SX64
30929343,31002457,73114,SI1110
31002457,31073113,70656,SI1134
31073113,31139161,66048,SI790
31139161,31184115,44954,SX172
31184115,31259789,75674,SI983
31259789,31314983,55194,SA1
31314983,31390759,75776,SI1519
31390759,31433460,42701,SI1187
31433460,31467355,33895,SX64
31467355,31498997,31642,SX195
31498997,31545692,46695,SA2
31545692,31595766,50074,SX348
31595766,31631811,36045,SA2
31631811,31685059,53248,SX154
31685059,31762167,77108,SI1816
31762167,31793604,31437,SI1414
31793604,31850744,57140,SA1
31850744,31891807,41063,SX69
31891807,31915871,24064,SI2244
31915871,31961439,45568,SX302
31961439,32003014,41575,SI2236
32003014,32045920,42906,SX71
32045920,32129684,83764,SI1152
32129684,32173409,43725,SI1261
32173409,32217851,44442,SX265
32217851,32264341,46490,SX316
32264341,32304277,39936,SX147
32304277,32348719,44442,SX159
32348719,32403913,55194,SX54
32403913,32437398,33485,SX269
32437398,32462691,25293,SX3
32462691,32528739,66048,SI1419
32528739,32577789,49050,SA1
32577789,32611172,33383,SX287
32611172,32667595,56423,SI1798
32667595,32722072,54477,SX292
32722072,32753714,31642,SX157
32753714,32797542,43828,SI512
32797542,32838502,40960,SX270
32838502,32892979,54477,SX241
32892979,32932199,39220,SI1905
32932199,32983297,51098,SX239
32983297,33024053,40756,SA2
33024053,33069109,45056,SI2071
33069109,33117647,48538,SX67
33117647,33159939,42292,SA2
33159939,33192093,32154,SX116
33192093,33234180,42087,SA2
33234180,33276267,42087,SX444
33276267,33306885,30618,SI2280
33306885,33357164,50279,SX341
33357164,33386144,28980,SI2306
33386144,33426900,40756,SX213
33426900,33478100,51200,SA1
33478100,33540974,62874,SA1
33540974,33641019,100045,SI1120
33641019,33682491,41472,SX416
33682491,33736661,54170,SX152
33736661,33782025,45364,SI1676
33782025,33822166,40141,SX147
33822166,33878691,56525,SA1
33878691,33931018,52327,SX337
33931018,33978634,47616,SX402
33978634,34024100,45466,SX416
34024100,34062091,37991,SX63
34062091,34109298,47207,SA2
34109298,34143398,34100,SI815
34143398,34167258,23860,SI1641
34167258,34205966,38708,SI480
34205966,34259214,53248,SI1788
34259214,34300891,41677,SX387
34300891,34368578,67687,SI1313
34368578,34414761,46183,SX211
34414761,34476304,61543,SX422
34476304,34541840,65536,SI1411
34541840,34581879,40039,SX271
34581879,34615262,33383,SI555
34615262,34656939,41677,SA2
34656939,34709471,52532,SA2
34709471,34752275,42804,SA1
34752275,34790778,38503,SX399
34790778,34828052,37274,SI1205
34828052,34871368,43316,SX64
34871368,34938645,67277,SI600
34938645,34988617,49972,SA1
34988617,35029168,40551,SX222
35029168,35081495,52327,SA1
35081495,35129111,47616,SA1
35129111,35186763,57652,SX173
35186763,35237144,50381,SX338
35237144,35294079,56935,SX176
35294079,35333811,39732,SI1871
35333811,35379277,45466,SX7
35379277,35435290,56013,SX438
35435290,35487822,52532,SA1
35487822,35562574,74752,SI959
35562574,35610907,48333,SI2281
35610907,35663848,52941,SX151
35663848,35710952,47104,SX123
35710952,35748226,37274,SI1790
35748226,35788367,40141,SX26
35788367,35844687,56320,SA1
35844687,35889539,44852,SA2
35889539,35935312,45773,SX382
35935312,35976989,41677,SA2
35976989,36024810,47821,SA2
36024810,36084817,60007,SX286
36084817,36118097,33280,SX415
36118097,36147486,29389,SX196
36147486,36176363,28877,SI1794
36176363,36209848,33485,SI2035
36209848,36269752,59904,SX38
36269752,36321567,51815,SX362
36321567,36382905,61338,SI1226
36382905,36442093,59188,SX327
36442093,36475066,32973,SX59
36475066,36520225,45159,SI1032
36520225,36575624,55399,SX420
36575624,36635221,59597,SA1
36635221,36673724,38503,SA2
36673724,36703830,30106,SI2314
36703830,36732195,28365,SX207
36732195,36775203,43008,SA2
36775203,36814935,39732,SX402
36814935,36893988,79053,SA1
36893988,36946520,52532,SI1366
36946520,36990655,44135,SX201
36990655,37066227,75572,SI834
37066227,37110874,44647,SI2129
37110874,37160231,49357,SI1297
37160231,37235598,75367,SI1588
37235598,37263656,28058,SX59
37263656,37306152,42496,SX147
37306152,37348751,42599,SI1737
37348751,37398415,49664,SX450
37398415,37444393,45978,SX356
37444393,37521091,76698,SX335
37521091,37563895,42804,SX381
37563895,37600043,36148,SI755
37600043,37652063,52020,SA2
37652063,37713811,61748,SX181
37713811,37781088,67277,SI1752
37781088,37841402,60314,SA2
37841402,37892090,50688,SX442
37892090,37934689,42599,SX197
37934689,38001147,66458,SX336
38001147,38060027,58880,SA1
38060027,38113071,53044,SA2
38113071,38181065,67994,SI1106
38181065,38216086,35021,SX116
38216086,38261962,45876,SX354
38261962,38307121,45159,SX135
38307121,38343576,36455,SX154
38343576,38395698,52122,SX449
38395698,38447820,52122,SI1325
38447820,38518272,70452,SI1076
38518272,38596916,78644,SI658
38596916,38658971,62055,SX160
38658971,38702594,43623,SX259
38702594,38738946,36352,SA2
38738946,38781442,42496,SX74
38781442,38828751,47309,SI2219
38828751,38874729,45978,SI1914
38874729,38918557,43828,SX393
38918557,38961156,42599,SA2
38961156,39002628,41472,SA2
39002628,39058232,55604,SA1
39058232,39113426,55194,SA2
39113426,39151314,37888,SX405
39151314,39196166,44852,SX326
39196166,39243168,47002,SX106
39243168,39281261,38093,SA2
39281261,39335124,53863,SX346
39335124,39363284,28160,SI1607
39363284,39433019,69735,SI516
39433019,39473467,40448,SI1976
39473467,39493640,20173,SX237
39493640,39545967,52327,SX264
39545967,39591331,45364,SX302
39591331,39640074,48743,SX38
39640074,39682775,42701,SI1872
39682775,39758347,75572,SI1889
39758347,39815794,57447,SA2
39815794,39863001,47207,SI585
39863001,39907955,44954,SA1
39907955,39929971,22016,SI1978
39929971,39969703,39732,SX291
39969703,40019572,49869,SA1
40019572,40075483,55911,SX432
40075483,40125352,49869,SA1
40125352,40174607,49255,SA1
40174607,40215260,40653,SX387
40215260,40247619,32359,SI2138
40247619,40292880,45261,SX444
40292880,40343364,50484,SX353
40343364,40399480,56116,SX248
40399480,40439007,39527,SX339
40439007,40493689,54682,SI558
40493689,40545401,51712,SA1
40545401,40589126,43725,SA1
40589126,40641043,51917,SA2
40641043,40703815,62772,SI1139
40703815,40777339,73524,SX432
40777339,40825160,47821,SX337
40825160,40879535,54375,SX428
40879535,40909539,30004,SX86
40909539,40954800,45261,SX305
40954800,40990128,35328,SX415
40990128,41021258,31130,SI2062
41021258,41062833,41575,SX436
41062833,41098264,35431,SX106
41098264,41155506,57242,SA1
41155506,41184281,28775,SI1008
41184281,41225241,40960,SX300
41225241,41295181,69940,SI1098
41295181,41347815,52634,SI1979
41347815,41411815,64000,SA1
41411815,41454926,43111,SA2
41454926,41515650,60724,SX336
41515650,41576783,61133,SX416
41576783,41624092,47309,SX92
41624092,41655017,30925,SI1533
41655017,41698333,43316,SA2
41698333,41745642,47309,SX235
41745642,41823569,77927,SI2282
41823569,41873029,49460,SA1
41873029,41925663,52634,SA1
41925663,41963449,37786,SX246
41963449,42002566,39117,SA2
42002566,42047110,44544,SA2
42047110,42102509,55399,SX247
42102509,42150637,48128,SX218
42150637,42184634,33997,SX31
42184634,42223034,38400,SX391
42223034,42277204,54170,SA1
42277204,42293998,16794,SX70
42293998,42354824,60826,SI2151
42354824,42394658,39834,SX285
42394658,42445961,51303,SX76
42445961,42508118,62157,SI1431
42508118,42534333,26215,SX272
42534333,42603863,69530,SX352
42603863,42647383,43520,SI832
42647383,42695102,47719,SA1
42695102,42723365,28263,SX70
42723365,42767807,44442,SA2
42767807,42817983,50176,SX256
42817983,42889663,71680,SI1075
42889663,42929599,39936,SX245
42929599,42982233,52634,SX164
42982233,43032102,49869,SA2
43032102,43081766,49664,SX219
43081766,43130816,49050,SI684
43130816,43164301,33485,SX30
43164301,43218676,54375,SX435
43218676,43262299,43623,SX400
43262299,43317186,54887,SX92
43317186,43361628,44442,SA1
43361628,43405865,44237,SI1655
43405865,43453789,47924,SX338
43453789,43502839,49050,SX419
43502839,43544209,41370,SX448
43544209,43612203,67994,SI1616
43612203,43642002,29799,SI1941
43642002,43680914,38912,SX105
43680914,43730886,49972,SI1025
43730886,43776147,45261,SA2
43776147,43839738,63591,SX439
43839738,43884385,44647,SX424
43884385,43945621,61236,SA1
43945621,43995285,49664,SX232
43995285,44039317,44032,SX411
44039317,44073826,34509,SX24
44073826,44116732,42906,SA2
44116732,44144790,28058,SI1274
44144790,44191690,46900,SX164
44191690,44229578,37888,SI1245
44229578,44279447,49869,SX244
44279447,44321636,42189,SI847
44321636,44361163,39527,SX245
44361163,44392600,31437,SI1881
44392600,44441343,48743,SI1056
44441343,44503500,62157,SX347
44503500,44551219,47719,SI1982
44551219,44613581,62362,SX58
44613581,44675533,61952,SI655
44675533,44713217,37684,SI1932
44713217,44770869,57652,SA1
44770869,44799439,28570,SI1827
44799439,44877263,77824,SI2101
44877263,44928975,51712,SX117
44928975,44991951,62976,SX352
