mel_spectro_start,mel_spectro_end,mel_spectro_length,Speaker
135525,136664,1139,715
136664,137915,1251,157236
137915,139078,1163,117382
139078,140092,1014,58776
140092,141135,1043,54659
141135,142258,1123,132499
142258,143540,1282,86045
143540,144859,1319,282386
144859,145940,1081,125127
145940,146927,987,76055
146927,147990,1063,171109
147990,149114,1124,122614
149114,150383,1269,71531
150383,151277,894,131030
151277,152530,1253,135657
152530,153725,1195,39840
153725,154924,1199,135636
154924,155953,1029,68344
155953,157173,1220,170952
157173,157942,769,129790
157942,159193,1251,52088
159193,160381,1188,10328
160381,161487,1106,142745
161487,161757,270,123998
161757,162678,921,130493
162678,163644,966,147971
163644,164923,1279,121413
164923,166013,1090,108620
166013,167119,1106,112592
167119,168280,1161,130103
168280,169488,1208,38660
169488,170008,520,6506
170008,171196,1188,76055
171196,172358,1162,124549
172358,173500,1142,145138
173500,174473,973,29012
174473,175696,1223,295445
175696,176851,1155,128309
176851,177408,557,165701
177408,178383,975,160958
178383,178638,255,157066
178638,179660,1022,41933
179660,180853,1193,72876
180853,181786,933,55856
181786,182959,1173,80189
182959,184205,1246,12707
184205,184896,691,76055
184896,185896,1000,160188
185896,186473,577,136983
186473,187619,1146,125147
187619,188880,1261,161100
188880,189490,610,98644
189490,190545,1055,103481
190545,191544,999,157236
191544,192024,480,63713
192024,192854,830,150915
192854,193298,444,129752
193298,194465,1167,12898
194465,194993,528,141279
194993,196304,1311,74797
196304,196793,489,6525
196793,197912,1119,46890
197912,199101,1189,157857
199101,200372,1271,150915
200372,201398,1026,170438
201398,202575,1177,126959
202575,202962,387,158081
202962,204137,1175,37999
204137,204620,483,122944
204620,205057,437,10347
205057,206320,1263,290350
206320,207424,1104,17942
207424,208538,1114,216564
208538,209666,1128,178029
209666,210812,1146,174992
210812,211987,1175,8674
211987,212408,421,147193
212408,213589,1181,61356
213589,214681,1092,58025
214681,215543,862,48842
215543,215951,408,150469
215951,217122,1171,122876
217122,217509,387,164327
217509,218760,1251,4445
218760,219227,467,121446
219227,220438,1211,244443
220438,221201,763,124547
221201,222303,1102,282386
222303,223519,1216,54006
223519,224528,1009,293168
224528,225759,1231,123036
225759,226150,391,124164
226150,227322,1172,158074
227322,228435,1113,296078
228435,229625,1190,1150
229625,230305,680,282391
230305,231565,1260,148521
231565,232745,1180,110705
232745,233960,1215,121080
233960,234674,714,90852
234674,235903,1229,121760
235903,237050,1147,276908
237050,238051,1001,170440
238051,239297,1246,6541
239297,240496,1199,87508
240496,241748,1252,84121
241748,242864,1116,155972
242864,243904,1040,19132
243904,245045,1141,41151
245045,245226,181,134465
245226,246427,1201,126959
246427,247565,1138,28380
247565,248712,1147,123270
248712,250001,1289,150915
250001,251230,1229,147110
251230,251899,669,10344
251899,253086,1187,130489
253086,254293,1207,64717
254293,255220,927,11077
255220,256197,977,60480
256197,256630,433,143361
256630,257867,1237,157400
257867,258651,784,169293
258651,259307,656,232691
259307,260574,1267,291608
260574,261569,995,130728
261569,262706,1137,184264
262706,263956,1250,62851
263956,264529,573,131722
264529,265690,1161,39660
265690,266353,663,10160
266353,266679,326,32135
266679,267765,1086,282412
267765,268912,1147,57180
268912,270101,1189,182402
270101,270908,807,178030
270908,272202,1294,57156
272202,272650,448,134816
272650,273529,879,142744
273529,274581,1052,122810
274581,275660,1079,176270
275660,276737,1077,44912
276737,278038,1301,87766
278038,279270,1232,157636
279270,279820,550,153733
279820,281071,1251,142752
281071,281356,285,142848
281356,282292,936,184447
282292,283361,1069,6557
283361,284561,1200,105179
284561,285726,1165,129325
285726,286961,1235,5764
286961,288169,1208,291172
288169,289352,1183,139612
289352,290543,1191,21493
290543,291199,656,19214
291199,292248,1049,128345
292248,293523,1275,136483
293523,294636,1113,124368
294636,295860,1224,124587
295860,296486,626,158081
296486,297768,1282,32886
297768,298967,1199,92002
298967,299917,950,185125
299917,300798,881,129066
300798,301416,618,14677
301416,301784,368,166436
301784,302922,1138,48377
302922,303780,858,112056
303780,303982,202,123602
303982,305138,1156,282926
305138,306397,1259,127936
306397,307083,686,57837
307083,308067,984,291107
308067,308448,381,73847
308448,309417,969,176263
309417,309624,207,135897
309624,309780,156,129388
309780,310641,861,137628
310641,311856,1215,178450
311856,313219,1363,284435
313219,314317,1098,122451
314317,315346,1029,150843
315346,316224,878,61780
316224,317367,1143,47237
317367,318347,980,175448
318347,319554,1207,157057
319554,320766,1212,279153
320766,321625,859,155972
321625,322849,1224,154838
322849,323946,1097,164461
323946,324811,865,81870
324811,325380,569,136610
325380,326502,1122,89894
326502,327411,909,169291
327411,328598,1187,85685
328598,329938,1340,52195
329938,331156,1218,69550
331156,331537,381,156474
331537,332830,1293,39515
332830,332992,162,22574
332992,334141,1149,123269
334141,335221,1080,71402
335221,336440,1219,275128
336440,337624,1184,137739
337624,338240,616,140718
338240,338795,555,10347
338795,339709,914,121446
339709,340888,1179,134825
340888,342069,1181,131228
342069,343321,1252,14960
343321,344509,1188,89388
344509,345716,1207,149738
345716,346110,394,134786
346110,347123,1013,140718
347123,347568,445,102239
347568,347940,372,126796
347940,349286,1346,39967
349286,350312,1026,69412
350312,351342,1030,107627
351342,352538,1196,142318
352538,353296,758,61316
353296,353750,454,11049
353750,355063,1313,36633
355063,355358,295,132644
355358,356594,1236,70843
356594,356940,346,122944
356940,358183,1243,291107
358183,359421,1238,121446
359421,360665,1244,128636
360665,361946,1281,39648
361946,363085,1139,129581
363085,363866,781,300234
363866,365073,1207,163527
365073,366218,1145,130728
366218,367107,889,124520
367107,367957,850,9010
367957,369188,1231,10673
369188,370406,1218,133396
370406,371069,663,56179
371069,372291,1222,147159
372291,373168,877,140651
373168,373813,645,82558
373813,374935,1122,300208
374935,376126,1191,152824
376126,377390,1264,89898
377390,378005,615,83606
378005,378516,511,8689
378516,379619,1103,72210
379619,380482,863,165701
380482,381603,1121,120325
381603,382824,1221,86708
382824,383044,220,129979
383044,384122,1078,47237
384122,385071,949,139361
385071,385777,706,39477
385777,386886,1109,140222
386886,387882,996,279775
387882,389099,1217,59167
389099,390262,1163,8890
390262,391381,1119,101258
391381,391556,175,12332
391556,392681,1125,144503
392681,393058,377,275212
393058,394127,1069,58868
394127,395343,1216,715
395343,396372,1029,287671
396372,397559,1187,90852
397559,398107,548,130627
398107,399353,1246,147967
399353,400302,949,169619
400302,401567,1265,127518
401567,402842,1275,121760
402842,403732,890,271812
403732,404791,1059,149739
404791,405780,989,187466
405780,406938,1158,19361
406938,408051,1113,143005
408051,408577,526,128632
408577,409789,1212,12926
409789,410909,1120,73075
410909,412010,1101,140718
412010,413117,1107,56840
413117,413405,288,9919
413405,413717,312,130505
413717,414967,1250,18524
414967,416144,1177,101580
416144,417239,1095,103126
417239,418464,1225,142318
418464,419599,1135,73075
419599,420741,1142,141320
420741,421937,1196,39660
421937,423227,1290,142744
423227,424490,1263,122545
424490,425790,1300,29108
425790,426905,1115,6556
426905,428142,1237,123266
428142,429209,1067,132484
429209,430288,1079,116805
430288,431276,988,126961
431276,432465,1189,39967
432465,433524,1059,275128
433524,434633,1109,155152
434633,435686,1053,16632
435686,436977,1291,148920
436977,438173,1196,124368
438173,439385,1212,110061
439385,440215,830,155646
440215,440921,706,122944
440921,441083,162,32137
441083,441440,357,259009
441440,442663,1223,124368
442663,443988,1325,11512
443988,444511,523,126739
444511,444945,434,130093
444945,446096,1151,107520
446096,447037,941,18004
447037,448250,1213,122443
448250,449451,1201,12085
449451,450206,755,66176
450206,451489,1283,128761
451489,452708,1219,108621
452708,453947,1239,125140
453947,454946,999,110238
454946,455759,813,1731
455759,456992,1233,148993
456992,457805,813,121730
457805,458047,242,130994
458047,459089,1042,134425
459089,460326,1237,143262
460326,461587,1261,147968
461587,462666,1079,6525
462666,463934,1268,140639
463934,464603,669,26558
464603,465751,1148,161102
465751,466932,1181,64738
466932,468004,1072,30591
468004,468330,326,144986
468330,469354,1024,54006
469354,469635,281,163384
469635,469886,251,254948
469886,470509,623,73295
470509,471398,889,142311
471398,472349,951,95959
472349,472908,559,125084
472908,473608,700,131735
473608,474539,931,164187
474539,475805,1266,175448
475805,476811,1006,134316
476811,478027,1216,161166
478027,479162,1135,107621
479162,480040,878,141240
480040,480982,942,76046
480982,481275,293,155944
481275,482378,1103,282934
482378,483474,1096,290365
483474,484670,1196,283242
484670,484973,303,124547
484973,486114,1141,141209
486114,486616,502,121741
486616,487838,1222,134149
487838,489015,1177,125883
489015,490029,1014,17942
490029,491038,1009,41151
491038,491369,331,177641
491369,491961,592,133273
491961,493250,1289,21493
493250,494382,1132,11243
494382,495541,1159,161166
495541,496644,1103,107520
496644,497880,1236,147981
497880,499155,1275,138866
499155,500375,1220,11547
500375,501339,964,126829
501339,502040,701,4731
502040,503222,1182,105574
503222,504327,1105,143895
504327,505547,1220,8674
505547,506823,1276,130229
506823,508048,1225,141644
508048,509235,1187,126739
509235,509626,391,155151
509626,510728,1102,132101
510728,511826,1098,96175
511826,512660,834,279852
512660,513844,1184,129983
513844,515123,1279,143895
515123,516163,1040,131722
516163,517324,1161,9321
517324,518455,1131,155972
518455,519146,691,26894
519146,520166,1020,121891
520166,521473,1307,48361
521473,522372,899,127538
522372,523400,1028,29101
523400,524460,1060,108620
524460,525580,1120,66176
525580,526623,1043,132717
526623,527591,968,136280
527591,528472,881,156159
528472,529405,933,245687
529405,529595,190,123882
529595,530607,1012,32856
530607,531882,1275,34497
531882,532995,1113,133273
532995,534231,1236,111961
534231,535331,1100,124368
535331,536590,1259,36146
536590,537032,442,26956
537032,538191,1159,167597
538191,539526,1335,70837
539526,540485,959,84448
540485,541778,1293,1187
541778,542951,1173,149236
542951,543356,405,129393
543356,544664,1308,67218
544664,545734,1070,29012
545734,546064,330,75810
546064,546478,414,26895
546478,547582,1104,890
547582,548471,889,53343
548471,549577,1106,132272
549577,549918,341,11533
549918,551036,1118,121382
551036,552149,1113,14936
552149,553244,1095,231834
553244,554399,1155,149890
554399,555328,929,70843
555328,556358,1030,140222
556358,557451,1093,130164
557451,557624,173,279852
557624,558908,1284,141148
558908,559999,1091,300234
559999,561044,1045,109658
561044,562223,1179,117866
562223,563475,1252,95959
563475,564752,1277,139717
564752,565985,1233,7793
565985,567244,1259,80534
567244,567969,725,254918
567969,569187,1218,121661
569187,570439,1252,74798
570439,571067,628,129623
571067,572251,1184,131887
572251,573299,1048,143005
573299,574226,927,135635
574226,575496,1270,73958
575496,576186,690,170951
576186,577449,1263,233382
577449,578266,817,121799
578266,579419,1153,130878
579419,579682,263,26853
579682,580256,574,258250
580256,581197,941,94522
581197,582443,1246,26553
582443,583566,1123,116805
583566,584767,1201,124994
584767,586101,1334,88363
586101,587264,1163,2772
587264,588516,1252,29110
588516,589730,1214,132882
589730,590924,1194,170982
590924,591994,1070,136054
591994,592499,505,31629
592499,593754,1255,37999
593754,593989,235,233382
593989,595018,1029,126932
595018,595699,681,126220
595699,596768,1069,142858
596768,597897,1129,130727
597897,599140,1243,159228
599140,600233,1093,96157
600233,601108,875,123191
601108,601335,227,160593
601335,602294,959,8912
602294,603459,1165,131735
603459,604729,1270,231837
604729,606008,1279,157057
606008,607234,1226,130493
607234,608195,961,31668
608195,609253,1058,73075
609253,610527,1274,124368
610527,611556,1029,111961
611556,612699,1143,123013
612699,613670,971,137770
613670,614829,1159,145138
614829,615676,847,90852
615676,616824,1148,134425
616824,617650,826,145138
617650,618068,418,105179
618068,619242,1174,108640
619242,620490,1248,128331
620490,621410,920,160188
621410,622525,1115,72876
622525,623654,1129,73073
623654,624216,562,90847
624216,624750,534,139404
624750,626001,1251,122614
626001,627304,1303,105171
627304,628496,1192,121891
628496,629715,1219,8674
629715,630918,1203,9914
630918,631220,302,105390
631220,631765,545,129805
631765,632625,860,294551
632625,633898,1273,10988
633898,635057,1159,14936
635057,636229,1172,287671
636229,636662,433,130876
636662,637739,1077,129983
637739,638974,1235,79973
638974,640257,1283,47032
640257,641566,1309,126336
641566,642700,1134,125941
642700,643945,1245,133447
643945,645201,1256,168199
645201,646316,1115,285896
646316,647134,818,82458
647134,648395,1261,166420
648395,649158,763,84121
649158,650151,993,132776
650151,651354,1203,1150
651354,651723,369,178029
651723,652819,1096,46240
652819,653941,1122,154671
653941,655053,1112,47030
655053,655798,745,85640
655798,656959,1161,258970
656959,658218,1259,95441
658218,659529,1311,158781
659529,660052,523,220952
660052,660860,808,148920
660860,661949,1089,135220
661949,662178,229,163607
662178,663269,1091,362
663269,664039,770,162253
664039,665347,1308,275128
665347,665589,242,166683
665589,666702,1113,94523
666702,667842,1140,157236
667842,668969,1127,127597
668969,670218,1249,122801
670218,671153,935,125147
671153,672301,1148,275885
672301,672900,599,132300
672900,674091,1191,129440
674091,675346,1255,122441
675346,676458,1112,131203
676458,676819,361,61776
676819,677368,549,8927
677368,678643,1275,59268
678643,679794,1151,167022
679794,680561,767,9210
680561,681579,1018,34572
681579,682756,1177,149245
682756,683612,856,161972
683612,684016,404,132644
684016,685246,1230,39910
685246,685848,602,162239
685848,686945,1097,114469
686945,687704,759,96153
687704,688090,386,8890
688090,688878,788,274549
688878,689591,713,91801
689591,690056,465,12544
690056,691241,1185,30593
691241,692300,1059,91072
692300,693493,1193,143893
693493,694744,1251,38026
694744,695990,1246,285137
695990,697253,1263,131751
697253,698342,1089,137739
698342,699294,952,123882
699294,700499,1205,121541
700499,701733,1234,133263
701733,702792,1059,103120
702792,702996,204,274378
702996,703972,976,123176
703972,704773,801,291381
704773,705077,304,176853
705077,706361,1284,49755
706361,707537,1176,4733
707537,707806,269,134636
707806,708151,345,154838
708151,709399,1248,6174
709399,710564,1165,66465
710564,711636,1072,120325
711636,711984,348,122451
711984,712573,589,13248
712573,713474,901,157644
713474,713969,495,124549
713969,715178,1209,67592
715178,715965,787,102239
715965,717202,1237,123135
717202,718438,1236,59268
718438,719103,665,127215
719103,720393,1290,122443
720393,721517,1124,8141
721517,722334,817,95959
722334,723046,712,121085
723046,724215,1169,141240
724215,725278,1063,6525
725278,726384,1106,70837
726384,727489,1105,139397
727489,728726,1237,132272
728726,729983,1257,295710
729983,730794,811,125941
730794,731963,1169,147967
731963,733142,1179,115687
733142,733859,717,137106
733859,735042,1183,8592
735042,736170,1128,138043
736170,736673,503,129808
736673,736967,294,132717
736967,738195,1228,69422
738195,739387,1192,136983
739387,740474,1087,123866
740474,741626,1152,39971
741626,742746,1120,8674
742746,743903,1157,254918
743903,745262,1359,176263
745262,746541,1279,131735
746541,747820,1279,723
747820,748934,1114,121024
748934,750012,1078,126826
750012,751195,1183,187023
751195,752274,1079,58845
752274,753454,1180,286306
753454,754693,1239,64290
754693,755793,1100,4861
755793,755908,115,130125
755908,757083,1175,156981
757083,757855,772,130093
757855,759141,1286,39475
759141,760358,1217,17615
760358,760710,352,80189
760710,761907,1197,4275
761907,763063,1156,183988
763063,763531,468,126829
763531,764774,1243,130494
764774,765959,1185,9010
765959,766803,844,62851
766803,768027,1224,160952
768027,769112,1085,176660
769112,770149,1037,90852
770149,770678,529,164187
770678,771919,1241,1129
771919,772813,894,397
772813,774105,1292,18006
774105,775343,1238,157242
775343,776562,1219,157830
776562,776792,230,135897
776792,777998,1206,13256
777998,778373,375,141268
778373,779568,1195,61422
779568,780667,1099,63111
780667,781762,1095,130870
781762,782007,245,153733
782007,782732,725,86741
782732,783904,1172,121543
783904,784781,877,110238
784781,785830,1049,174511
785830,786406,576,160188
786406,787399,993,159386
787399,788678,1279,131106
788678,789911,1233,69607
789911,791076,1165,129805
791076,792187,1111,29110
792187,793376,1189,118112
793376,794529,1153,127518
794529,795622,1093,131295
795622,796788,1166,138115
796788,797833,1045,30106
797833,799085,1252,150469
799085,800240,1155,298549
800240,801320,1080,130529
801320,802477,1157,131704
802477,803698,1221,126220
803698,804707,1009,131218
804707,805875,1168,106367
805875,806836,961,106367
806836,808079,1243,1120
808079,809274,1195,282934
809274,810582,1308,110131
810582,811011,429,10328
811011,811677,666,134674
811677,811842,165,107480
811842,812255,413,133273
812255,813252,997,154736
813252,814506,1254,140725
814506,815739,1233,135227
815739,816823,1084,86039
816823,818000,1177,41151
818000,819284,1284,9203
819284,820354,1070,76043
820354,820656,302,14672
820656,821923,1267,279363
821923,823128,1205,5083
823128,823909,781,112597
823909,824830,921,293529
824830,826077,1247,1733
826077,826331,254,123215
826331,827384,1053,126539
827384,828353,969,98880
828353,829519,1166,86039
829519,830779,1260,92427
830779,831816,1037,128345
831816,833095,1279,159386
833095,834036,941,147968
834036,835066,1030,137739
835066,835754,688,121085
835754,836891,1137,70998
836891,838041,1150,5084
838041,838872,831,275218
838872,839949,1077,282391
839949,840690,741,92930
840690,841674,984,26982
841674,842852,1178,30591
842852,844019,1167,39515
844019,845075,1056,126600
845075,846249,1174,86710
846249,847344,1095,10673
847344,848035,691,723
848035,848830,795,171139
848830,850065,1235,163726
850065,851082,1017,4479
851082,852252,1170,156154
852252,853363,1111,182402
853363,854466,1103,158081
854466,855587,1121,67857
855587,856654,1067,142362
856654,856896,242,14897
856896,858105,1209,110061
858105,859246,1141,172165
859246,860353,1107,134728
860353,861602,1249,283242
861602,861806,204,95969
861806,863018,1212,54487
863018,864297,1279,143477
864297,864870,573,172156
864870,866086,1216,135264
866086,867211,1125,124002
867211,868401,1190,109507
868401,869361,960,88363
869361,870672,1311,46712
870672,871807,1135,135894
871807,872266,459,293963
872266,873101,835,68762
873101,874311,1210,295756
874311,875255,944,29110
875255,875448,193,148962
875448,876508,1060,92002
876508,877771,1263,137483
877771,878019,248,129582
878019,879221,1202,101283
879221,880512,1291,6397
880512,881667,1155,67584
881667,882172,505,125945
882172,883371,1199,5083
883371,884519,1148,86765
884519,885425,906,39967
885425,886480,1055,141320
886480,887609,1129,699
887609,888555,946,127731
888555,889802,1247,149881
889802,890839,1037,283462
890839,891950,1111,134830
891950,893229,1279,46890
893229,894418,1189,12895
894418,895559,1141,233342
895559,896537,978,172165
896537,897849,1312,59167
897849,898700,851,293529
898700,899866,1166,26558
899866,901099,1233,84357
901099,902104,1005,161217
902104,903330,1226,156757
903330,904633,1303,5416
904633,905873,1240,143948
905873,906851,978,15446
906851,907288,437,20023
907288,907959,671,69412
907959,908226,267,126965
908226,909356,1130,136483
909356,910561,1205,121064
910561,911714,1153,231836
911714,913022,1308,135762
913022,914162,1140,6541
914162,915515,1353,123215
915515,916399,884,121799
916399,917560,1161,122614
917560,918722,1162,71404
918722,919911,1189,73732
919911,920994,1083,129440
920994,922258,1264,101265
922258,922655,397,141208
922655,923633,978,304535
923633,924797,1164,163527
924797,925289,492,26894
925289,926538,1249,138656
926538,927467,929,92002
927467,928668,1201,126296
928668,929735,1067,77361
929735,930688,953,109185
930688,931845,1157,126796
931845,932105,260,39616
932105,932510,405,121103
932510,933586,1076,294700
933586,934768,1182,162253
934768,936059,1291,295446
936059,936574,515,121079
936574,937367,793,130627
937367,938079,712,126208
938079,939367,1288,52195
939367,939554,187,291374
939554,940457,903,233382
940457,941380,923,73973
941380,942468,1088,39501
942468,943749,1281,138042
943749,944851,1102,156230
944851,945688,837,48032
945688,946658,970,129011
946658,947891,1233,109662
947891,949188,1297,167597
949188,950389,1201,122443
950389,951518,1129,152262
951518,952660,1142,156154
952660,953864,1204,128138
953864,955075,1211,161102
955075,956213,1138,121130
956213,956552,339,141148
956552,957716,1164,185485
957716,958896,1180,124221
958896,960084,1188,136458
960084,960455,371,6556
960455,961452,997,89735
961452,962687,1235,142733
962687,963745,1058,89894
963745,965026,1281,57180
965026,965481,455,124587
965481,966645,1164,5416
966645,966970,325,7894
966970,967849,879,28375
967849,969037,1188,73075
969037,970186,1149,138074
970186,971447,1261,1043
971447,972503,1056,366
972503,973769,1266,9210
973769,974826,1057,133220
974826,976124,1298,10701
976124,977349,1225,135894
977349,978360,1011,19366
978360,979476,1116,139753
979476,980485,1009,131113
980485,981567,1082,129443
981567,981810,243,163505
981810,982908,1098,101864
982908,983401,493,164327
983401,984550,1149,48831
984550,985571,1021,281131
985571,986726,1155,73957
986726,987261,535,129594
987261,988542,1281,295759
988542,989621,1079,127685
989621,990714,1093,141208
990714,991204,490,122467
991204,992395,1191,68359
992395,992627,232,54613
992627,993590,963,126957
993590,994857,1267,294554
994857,995958,1101,163384
995958,997123,1165,157056
997123,998250,1127,170440
998250,999447,1197,44912
999447,1000723,1276,139741
1000723,1001788,1065,108638
1001788,1002101,313,45217
1002101,1003326,1225,176256
1003326,1003585,259,14936
1003585,1004802,1217,138866
1004802,1005821,1019,66464
1005821,1006992,1171,144503
1006992,1008025,1033,48579
1008025,1009207,1182,104398
1009207,1010186,979,254918
1010186,1011347,1161,295756
1011347,1011904,557,141279
1011904,1012561,657,1539
1012561,1013820,1259,67218
1013820,1014511,691,138047
1014511,1015501,990,19366
1015501,1016346,845,122544
1016346,1017432,1086,300225
1017432,1018347,915,5704
1018347,1019063,716,131899
1019063,1020243,1180,149880
1020243,1021269,1026,124224
1021269,1022048,779,32639
1022048,1023301,1253,258970
1023301,1024439,1138,300225
1024439,1025240,801,160964
1025240,1026391,1151,142733
1026391,1027535,1144,171134
1027535,1028748,1213,139707
1028748,1029547,799,58192
1029547,1030287,740,57156
1030287,1031241,954,99156
1031241,1032479,1238,6556
1032479,1033725,1246,12471
1033725,1034572,847,134465
1034572,1035792,1220,57416
1035792,1037005,1213,126826
1037005,1037816,811,184448
1037816,1038631,815,32658
1038631,1039756,1125,9914
1039756,1040744,988,24515
1040744,1041568,824,52088
1041568,1042818,1250,160592
1042818,1044118,1300,143893
1044118,1045404,1286,156154
1045404,1046415,1011,121730
1046415,1047148,733,12707
1047148,1048333,1185,23311
1048333,1049186,853,131030
1049186,1050424,1238,101276
1050424,1051561,1137,126336
1051561,1052554,993,171108
1052554,1053762,1208,121148
1053762,1055008,1246,142896
1055008,1056166,1158,101883
1056166,1057389,1223,19361
1057389,1058636,1247,6171
1058636,1059899,1263,146111
1059899,1060599,700,154697
1060599,1061840,1241,34478
1061840,1062912,1072,139797
1062912,1064073,1161,139387
1064073,1065101,1028,284433
1065101,1066308,1207,143625
1066308,1066450,142,121413
1066450,1067715,1265,156159
1067715,1068883,1168,295445
1068883,1070162,1279,294697
1070162,1071225,1063,99249
1071225,1072396,1171,163505
1072396,1073685,1289,70837
1073685,1074612,927,72876
1074612,1075814,1202,88761
1075814,1076969,1155,39970
1076969,1078236,1267,57837
1078236,1079257,1021,6397
1079257,1080305,1048,8684
1080305,1081034,729,61780
1081034,1081803,769,131735
1081803,1082541,738,86683
1082541,1083648,1107,22581
1083648,1084579,931,4861
1084579,1085666,1087,296473
1085666,1086902,1236,157859
1086902,1088098,1196,106366
1088098,1089218,1120,230928
1089218,1089920,702,169619
1089920,1090913,993,288044
1090913,1092121,1208,132710
1092121,1092340,219,157636
1092340,1092482,142,86683
1092482,1093856,1374,254918
1093856,1094112,256,153731
1094112,1095021,909,296465
1095021,1096254,1233,138115
1096254,1097485,1231,147970
1097485,1098492,1007,138033
1098492,1099728,1236,6541
1099728,1100695,967,12731
1100695,1101747,1052,40571
1101747,1102598,851,245691
1102598,1103771,1173,48525
1103771,1105104,1333,132530
1105104,1106107,1003,4861
1106107,1106476,369,140656
1106476,1107494,1018,11243
1107494,1108621,1127,234100
1108621,1109866,1245,54666
1109866,1110869,1003,141208
1110869,1112193,1324,149033
1112193,1113168,975,274379
1113168,1114299,1131,73972
1114299,1115507,1208,397
1115507,1116759,1252,129805
1116759,1117964,1205,157236
1117964,1119245,1281,111574
1119245,1120325,1080,142824
1120325,1121512,1187,150127
1121512,1122696,1184,165701
1122696,1123621,925,143264
1123621,1124874,1253,39660
1124874,1126131,1257,134804
1126131,1127225,1094,43296
1127225,1128354,1129,123443
1128354,1129525,1171,12085
1129525,1130765,1240,282391
1130765,1131902,1137,144965
1131902,1132699,797,143895
1132699,1133999,1300,121658
1133999,1134517,518,258986
1134517,1135640,1123,89735
1135640,1136535,895,19132
1136535,1137749,1214,24516
1137749,1138708,959,32135
1138708,1139972,1264,135892
1139972,1140995,1023,14677
1140995,1141994,999,131295
1141994,1142487,493,106974
1142487,1143123,636,56175
1143123,1144369,1246,9342
1144369,1144808,439,245687
1144808,1145991,1183,152224
1145991,1146652,661,48848
1146652,1147490,838,126859
1147490,1148761,1271,102239
1148761,1149888,1127,129983
1149888,1151147,1259,149738
1151147,1152416,1269,4447
1152416,1153643,1227,64588
1153643,1153875,232,13247
1153875,1155117,1242,157857
1155117,1156378,1261,56175
1156378,1157511,1133,132800
1157511,1158082,571,28465
1158082,1159265,1183,130566
1159265,1160479,1214,121382
1160479,1161678,1199,54659
